,Rank,Movie Title,Gross,Release,Distributor
231,232,Dark Phoenix,"$55,545,217.00",6/6,
232,233,Silent Separation,"$55,350,000.00",4/29,
233,234,Thor: The Dark World,"$55,340,000.00",11/8,HuaXia
234,235,Beginning of the Great Revival (Jian dang wei ye) [3D re-release],"$54,612,874.00",11/4,
235,236,Go Brother!,"$54,608,418.00",8/17,
236,237,How to Train Your Dragon: The Hidden World,"$54,541,969.00",3/1,
237,238,Our Times (2015),"$54,499,955.00",11/19,
238,239,Capernaum,"$53,878,464.00",4/29,
239,240,G.I. Joe: Retaliation,"$53,840,000.00",4/15,China Film
240,241,A Chinese Odyssey: Part Three,"$53,160,819.00",9/14,
241,242,Despicable Me 2,"$52,980,000.00",1/10,China Film
242,243,London Has Fallen,"$52,302,200.00",4/8,
243,244,Aladdin (2019),"$51,632,662.00",5/24,
244,245,Hollywood Adventures,"$51,620,000.00",6/26,
245,246,Incredibles 2,"$51,473,064.00",6/22,
246,247,Cry Me a Sad River,"$51,325,368.00",9/21,
247,248,Dunkirk,"$50,970,494.00",9/1,WB
248,249,Song of Youth,"$50,885,008.00",3/22,
249,250,Robocop (2014),"$50,820,000.00",2/28,China Film
250,251,Firestorm (2013),"$50,770,000.00",12/12,China Film
251,252,Qin Ai De Xiao Hai (Dearest),"$49,944,648.00",9/26,
252,253,The Hobbit: An Unexpected Journey,"$49,730,000.00",2/22,China Film
253,254,Overheard 3,"$49,650,000.00",5/29,HuaXia
254,255,Surprise - Journey To The West,"$49,373,331.00",12/11,
255,256,My Beloved Bodyguard,"$49,371,457.00",4/1,
256,257,Mechanic: Resurrection,"$49,243,215.00",10/21,
257,258,Never Gone,"$48,834,264.00",7/8,HuaXia
258,259,Maze Runner: The Death Cure,"$48,720,608.00",1/26,Fox
259,260,Frozen (2013),"$48,240,000.00",2/5,China Film
260,261,Sky Hunter,"$47,995,941.00",9/29,
261,262,Maleficent,"$47,720,000.00",6/20,China Film
262,263,Bleeding Steel,"$47,628,513.00",12/22,
263,264,The Dead End,"$47,600,000.00",8/27,
264,265,Tiny Times 2,"$47,220,000.00",8/8,
265,266,Andhadhun,"$47,111,380.00",4/3,
266,267,Night at the Museum: Secret of the Tomb,"$47,072,923.00",1/4,China Film
267,268,Boonie Bears: Mystical Winter,"$47,000,000.00",1/30,
268,269,Switch (2013),"$46,820,000.00",6/9,China Film
269,270,Chi bi (Red Cliff: Part I),"$46,698,967.00",7/10,
270,271,Hanson and the Beast,"$46,154,323.00",12/29,
271,272,The Legend of Tarzan,"$46,152,613.00",7/19,China Film
272,273,The Thousand Faces Of Dunjia,"$46,105,498.00",12/15,
273,274,Coming Home,"$46,000,000.00",5/16,Wanda
274,275,Golden Job,"$45,776,274.00",9/21,
275,276,Guilty of Mind,"$45,698,503.00",8/11,
276,277,Bajrangi Bhaijaan,"$45,534,364.00",3/2,
277,278,Let's Get Married,"$45,420,000.00",4/2,HuaXia
278,279,Alien: Covenant,"$45,400,330.00",6/16,Fox
279,280,Bu Er Shen Tan (Badges of Fury),"$45,300,000.00",6/21,
280,281,Passengers (2016),"$45,279,870.00",1/13,Sony
281,282,Yi dai zong shi (The Grandmaster),"$45,270,000.00",1/7,China Film
282,283,Fei Cheng Wu Rao (If You Are the One),"$45,257,457.00",12/18,
283,284,Somewhere Only We Know,"$45,160,000.00",2/10,
284,285,Love on the Cloud (Wei Ai),"$45,040,000.00",12/24,
285,286,My Best Summer,"$44,851,664.00",6/6,
286,287,Lucy,"$44,780,000.00",10/24,China Film
287,288,Jupiter Ascending,"$44,620,000.00",3/6,China Film
288,289,Boonie Bears III,"$44,544,110.00",1/16,
289,290,The Great Hypnotist,"$44,050,000.00",4/30,
290,291,Shazam!,"$43,697,123.00",4/5,
291,292,Battle of Memories,"$43,052,147.00",4/28,
292,293,"Chu zi Xi zi Pi zi (The Chef, The Actor, The Scoundrel)","$42,970,000.00",3/29,
293,294,League of Gods,"$42,682,491.00",7/29,HuaXia
294,295,Star Wars: The Last Jedi,"$42,577,974.00",1/5,Disney
295,296,Once Upon a Deadpool,"$42,453,208.00",1/25,Fox
296,297,No Man's Land (2013),"$41,800,000.00",12/3,HuaXia
297,298,Long Day's Journey Into Night,"$41,464,344.00",12/31,
298,299,Bad Genius,"$41,051,728.00",10/13,
299,300,"Lost, Found","$41,016,766.00",10/5,
300,301,Escape Plan,"$40,930,000.00",11/4,China Film
301,302,Penguins of Madagascar,"$40,730,000.00",11/14,China Film
302,303,The Wolverine,"$40,570,000.00",10/17,China Film
303,304,Love O2O,"$39,969,537.00",8/12,HuaXia
