,Rank,Movie Title,Gross,Release,Distributor
562,563,Song of the Phoenix,"$13,075,926.00",5/6,
563,564,Hallo Babies,"$13,040,000.00",1/11,
564,565,Da Hufa,"$13,006,233.00",7/13,
565,566,The Lone Ranger,"$12,940,000.00",10/5,China Film
566,567,The Chronicles of Narnia: Prince Caspian,"$12,522,570.00",6/6,China Film
567,568,Meitantei Conan: Goka no himawari,"$12,496,657.00",10/23,
568,569,Heart for Heaven,"$12,435,610.00",12/31,
569,570,Miss Partners,"$12,363,592.00",4/29,
570,571,Divergent,"$12,320,000.00",9/8,China Film
571,572,Gintama,"$12,232,143.00",9/1,
572,573,Seer III,"$12,230,000.00",7/12,
573,574,No One's Life Is Easy: So I Married an Anti-Fan,"$12,101,384.00",6/30,CL
574,575,Crystal Sky of Yesterday,"$12,061,164.00",10/26,
575,576,"McDull, Kung Fu Kindergarten","$12,031,621.00",7/24,
576,577,"McDull, Kung Fu Kindergarten","$12,031,621.00",7/24,
577,578,"McDull, Kung Fu Kindergarten","$12,031,621.00",7/24,
578,579,Baahubali 2: The Conclusion,"$11,951,545.00",5/4,
579,580,"Uchiage hanabi, shita kara miru ka? Yoko kara miru ka?","$11,943,229.00",12/1,
580,581,Little Door Gods (Xiao men shen),"$11,902,156.00",12/25,
581,582,As the Light Goes Out,"$11,880,000.00",1/3,China Film
582,583,Hotel Transylvania,"$11,850,000.00",11/1,HuaXia
583,584,Roco Kingdom 4,"$11,810,000.00",8/13,
584,585,Deng Feng Lai (Up in the Wind),"$11,780,000.00",12/31,China Film
585,586,Casino Royale,"$11,770,398.00",1/30,
586,587,I Love Wolffy 2,"$11,730,000.00",8/1,
587,588,Tik Tok,"$11,702,016.00",7/15,China Film
588,589,Fighting (2014),"$11,670,000.00",3/21,
589,590,Blade Runner 2049,"$11,651,565.00",10/27,Sony
590,591,Last Letter,"$11,609,064.00",11/9,
591,592,Upside Down (2012),"$11,600,000.00",3/7,HuaXia
592,593,Kung Fu Monster,"$11,558,566.00",12/21,
593,594,The Snow Queen 3: Fire and Ice,"$11,554,062.00",4/5,
594,595,Stalingrad (2013),"$11,520,000.00",10/31,HuaXia
595,596,For Love,"$11,487,632.00",1/29,
596,597,Storks,"$11,461,078.00",9/23,WB
597,598,Drôles de petites bêtes,"$11,422,395.00",4/13,
598,599,One Step Away,"$11,320,000.00",9/19,China Film
599,600,The Third Way of Love,"$11,270,000.00",9/25,
600,601,The Adventure of Afanti,"$11,113,411.00",10/1,
601,602,Snowpiercer,"$11,100,000.00",3/17,China Film
602,603,77 Heartbreaks,"$11,077,852.00",6/23,
603,604,Niu Qi Chong Tian,"$11,043,191.00",1/16,
604,605,Niu Qi Chong Tian,"$11,043,191.00",1/16,
605,606,Niu Qi Chong Tian,"$11,043,191.00",1/16,
606,607,Battle of Xiangjiang,"$11,037,772.00",6/30,
607,608,Fake Fiction,"$10,970,000.00",8/23,China Film
608,609,Happy Little Submarine 20000 Leagues Under The Sea,"$10,949,902.00",6/1,
609,610,Xiao Gong Zhen Wu Lin (Princess And Seven Kung Fu Masters),"$10,870,000.00",3/8,
610,611,Mao Fengmei,"$10,854,121.00",9/14,
611,612,"10,000 B.C.","$10,851,097.00",3/21,China Film
612,613,Mr. Black: Green Star,"$10,849,131.00",8/7,
613,614,Loving Vincent,"$10,831,329.00",12/8,
614,615,Smallfoot,"$10,808,893.00",10/19,
615,616,The Vanished Murderer,"$10,763,405.00",11/27,
616,617,Wanted,"$10,747,059.00",10/9,
617,618,Only You,"$10,710,000.00",7/24,China Film
618,619,The Leaker,"$10,626,552.00",6/15,
619,620,Roco Kingdom: The Desire of Dragon,"$10,550,000.00",1/30,
620,621,Deepwater Horizon,"$10,507,817.00",11/15,
621,622,Annihilation,"$10,338,614.00",4/13,PPI
622,623,Hide and Seek (2016),"$10,315,084.00",11/4,
623,624,Crazy New Year's Eve,"$10,280,000.00",2/6,
624,625,Lobster Cop,"$10,261,313.00",6/22,
625,626,"Three Billboards Outside Ebbing, Missouri","$10,259,207.00",3/2,Fox
626,627,Wished,"$10,238,078.00",6/30,
627,628,Girls Vs Gangsters (Guimi 2),"$10,166,181.00",3/2,
628,629,For Love or Money (2014),"$9,960,000.00",11/7,China Film
629,630,National Treasure: Book of Secrets,"$9,951,598.00",3/17,HuaXia
630,631,Horse Trader,"$9,940,000.00",3/21,
631,632,Journey to the Center of the Earth,"$9,923,386.00",9/28,
632,633,Les Miserables (2012),"$9,900,000.00",2/28,China Film
633,634,The Crimes that Bind,"$9,886,245.00",4/12,
634,635,Born in China,"$9,880,653.00",8/12,
635,636,I Am Somebody,"$9,870,000.00",7/2,
636,637,Pleasant Goat and Big Big Wolf - Amazing Pleasant Goat,"$9,830,000.00",1/31,
637,638,The Grandmaster 3D,"$9,830,000.00",1/8,HuaXia
638,639,Saving General Yang,"$9,680,000.00",4/4,China Film
639,640,One Night Stud,"$9,670,000.00",2/6,
640,641,The Shadow Play,"$9,626,679.00",4/4,
641,642,The Assassin,"$9,400,000.00",8/27,
642,643,The Human Comedy (2019),"$9,345,649.00",3/29,
643,644,Saam gwok dzi gin lung se gap (Three Kingdoms: Resurrection of the Dragon),"$9,331,504.00",4/3,Baoli Bona
644,645,Legend of Qin,"$9,250,000.00",8/8,HuaXia
645,646,Kwai Boo,"$9,140,000.00",8/6,
646,647,Red 2,"$8,980,000.00",11/15,China Film
647,648,Hotel Deluxe,"$8,960,000.00",2/1,
648,649,The Incredible Hulk,"$8,929,638.00",8/20,
649,650,Star Trek,"$8,916,639.00",5/15,
650,651,Star Trek,"$8,916,639.00",5/15,
651,652,Star Trek,"$8,916,639.00",5/15,
652,653,Happy Little Submarine 3 - Rainbow Treasure,"$8,830,000.00",5/31,
653,654,Dragon Nest: Warriors' Dawn,"$8,810,000.00",7/31,HuaXia
654,655,The SpongeBob Movie: Sponge Out of Water,"$8,762,372.00",12/1,
655,656,The Water Horse: Legend of the Deep,"$8,752,718.00",2/17,China Film
656,657,The Impossible,"$8,730,000.00",8/29,China Film
657,658,Seer V,"$8,730,000.00",7/10,HuaXia
658,659,Shaun the Sheep Movie,"$8,713,376.00",7/17,China Film
659,660,Yugo & Lala 2,"$8,630,000.00",8/8,
660,661,The Palace,"$8,570,000.00",8/13,Wanda
661,662,Transporter 3,"$8,556,760.00",2/12,
662,663,Transporter 3,"$8,556,760.00",2/12,
663,664,Transporter 3,"$8,556,760.00",2/12,
664,665,The Family (2013),"$8,520,000.00",3/7,China Film
665,666,The Magical Brush,"$8,520,000.00",7/25,China Film
666,667,Jack the Giant Slayer,"$8,490,000.00",3/25,China Film
667,668,The Old Cinderella,"$8,330,000.00",3/7,HuaXia
668,669,Night at the Museum,"$8,319,134.00",2/14,China Film
669,670,Cities in Love,"$8,120,000.00",8/19,
670,671,Moon to (Protégé),"$8,069,097.00",2/6,Poly Bona
671,672,Colombiana,"$8,050,000.00",6/7,HuaXia
672,673,Valkyrie,"$8,041,799.00",2/26,
673,674,Valkyrie,"$8,041,799.00",2/26,
674,675,Valkyrie,"$8,041,799.00",2/26,
675,676,Epic,"$8,030,000.00",11/29,China Film
676,677,Free Birds,"$7,990,000.00",3/7,HuaXia
677,678,Dragonball Evolution,"$7,936,392.00",3/14,
678,679,Dragonball Evolution,"$7,936,392.00",3/14,
679,680,Dragonball Evolution,"$7,936,392.00",3/14,
680,681,Huang jin shi dai (The Golden Era),"$7,930,000.00",10/1,China Film
681,682,Bunshinsaba 3,"$7,890,000.00",7/4,China Film
682,683,The Last Stand,"$7,790,000.00",10/24,China Film
683,684,Mortal Engines,"$7,466,309.00",1/18,
684,685,Happy Little Submarines 4 - Adventures of Octopus,"$7,390,000.00",5/30,China Film
685,686,The Monuments Men,"$7,350,000.00",3/28,China Film
686,687,Roco Kingdom 3,"$7,050,000.00",7/10,
687,688,Control (2013),"$7,020,000.00",11/22,
688,689,Amazing (2013),"$6,990,000.00",9/30,
689,690,Bo chi tung wah (Connected),"$6,953,637.00",9/25,
690,691,McDull: Me and My Mum,"$6,932,179.00",10/1,
691,692,Stolen (2012),"$6,900,000.00",3/1,China Film
692,693,Shi Quan Jiu Mei (Almost Perfect),"$6,855,809.00",7/28,
693,694,Armor Hero Atlas,"$6,810,000.00",10/1,
694,695,Wonder Park,"$6,779,030.00",4/19,
695,696,GG Bond 2,"$6,670,000.00",5/31,
696,697,Mayday Life,"$6,660,487.00",5/24,
697,698,"So Long, My Son","$6,601,881.00",3/22,
698,699,Prooi (Prey),"$6,589,175.00",3/22,
699,700,Bolt,"$6,578,259.00",12/24,
700,701,Xin DaTou Er Zi He Xiao Tou Ba Ba Zhi Mi Mi Ji Hua,"$6,290,000.00",9/25,China Film
701,702,Jiang shan mei ren (An Empress and the Warriors),"$6,147,279.00",3/6,Baoli Bona
702,703,Flood (2007),"$6,126,825.00",9/14,
703,704,The Adventures of Sinbad,"$6,060,000.00",5/31,
704,705,Ice Age: The Meltdown 3D,"$5,855,762.00",10/17,
705,706,Olympus Has Fallen,"$5,820,000.00",12/29,China Film
706,707,My Hero Academia: Two Heroes,"$5,779,149.00",3/15,
707,708,Dragon Force - Rise of Ultraman,"$5,755,641.00",1/18,
708,709,Happy Heroes,"$5,410,000.00",6/28,
709,710,A Dog's Way Home,"$5,364,516.00",1/18,
710,711,Madagascar: Escape 2 Africa,"$5,278,943.00",1/1,
711,712,Madagascar: Escape 2 Africa,"$5,278,943.00",1/1,
712,713,Madagascar: Escape 2 Africa,"$5,278,943.00",1/1,
713,714,Tian mi mi (Together),"$5,120,000.00",2/12,China Film
714,715,The Fox Lover,"$4,970,000.00",9/28,
715,716,Fly Me to the Moon,"$4,930,000.00",10/25,China Film
716,717,The Golden Compass,"$4,928,803.00",3/27,China Film
717,718,TMNT,"$4,819,908.00",5/18,China Film
718,719,A Home With a View,"$4,815,816.00",1/18,
719,720,Ai qing hu jiao zhuan yi II: Ai qing zuo you (Fit Lover),"$4,800,559.00",11/26,
720,721,Love You for Loving Me,"$4,790,000.00",11/8,
721,722,Kaabil,"$4,773,677.00",6/5,
722,723,Young Style,"$4,720,000.00",8/2,China Film
723,724,Fate/stay night: Heaven's Feel Ch.1 - Presage Flower,"$4,685,622.00",1/11,
724,725,Dragon Ball Super: Broly,"$4,558,443.00",5/24,
725,726,"Ga yau hei si 2009 (All's Well, Ends Well 2009)","$4,530,375.00",1/22,
726,727,"Ga yau hei si 2009 (All's Well, Ends Well 2009)","$4,530,375.00",1/22,
727,728,"Ga yau hei si 2009 (All's Well, Ends Well 2009)","$4,530,375.00",1/22,
728,729,Tao hua yun (Desires of the Heart),"$4,509,616.00",11/20,
729,730,Nan er ben se (Invisible Target),"$4,482,709.00",7/19,Poly Bona
730,731,One Foundation,"$4,474,576.00",11/29,China Film
731,732,Dredd,"$4,470,000.00",3/1,China Film
732,733,Bu neng shuo de. mi mi (Secret),"$4,407,852.00",7/31,China Film
733,734,Eragon,"$4,392,922.00",4/6,China Film
734,735,Storm Rider - Clash of Evils,"$4,382,825.00",7/19,
735,736,D-War (Dragon Wars),"$4,370,573.00",5/13,HuaXia
736,737,Mo hup leung juk (Butterfly Lovers),"$4,301,830.00",10/9,
737,738,Man of Tai Chi,"$4,280,000.00",7/5,China Film
738,739,Better and Better,"$4,180,000.00",2/10,China Film
739,740,Dou fo sin (Flash Point),"$4,090,789.00",8/3,Poly Bona
740,741,Savage,"$4,066,011.00",4/30,
741,742,Live Free or Die Hard,"$3,979,257.00",11/15,China Film
742,743,Tian tang kou (Blood Brothers),"$3,944,291.00",8/16,Bona Light
743,744,A City Called Macau,"$3,924,699.00",6/14,
744,745,Midas Touch,"$3,900,000.00",9/6,
745,746,Hing dai (Brothers),"$3,860,900.00",10/18,Poly Bona
746,747,Deja Vu,"$3,800,000.00",3/19,HuaXia
747,748,Mysterious Face,"$3,770,000.00",6/14,
748,749,Ghost Rider,"$3,759,994.00",6/3,China Film
749,750,Love Speaks,"$3,730,000.00",11/8,
750,751,Les Deux mondes,"$3,712,419.00",3/5,
751,752,Les Deux mondes,"$3,712,419.00",3/5,
752,753,Les Deux mondes,"$3,712,419.00",3/5,
753,754,Tie saam gok (Triangle),"$3,616,637.00",10/1,Poly Bona
754,755,Lost in Love,"$3,493,631.00",4/19,
755,756,Happy Little Submarine: Space Pals,"$3,395,249.00",6/1,
756,757,Neui yan fau pui (All About Women),"$3,331,872.00",12/11,
757,758,Sam hoi tsam yan (Missing),"$3,330,558.00",6/12,
758,759,Shooter,"$3,245,468.00",4/20,HuaXia
759,760,Qiaohu and the Fantastic Flying Ship,"$3,184,738.00",6/1,
760,761,Speed Racer,"$3,184,713.00",8/10,
761,762,The Guardian,"$3,157,013.00",1/13,China Film
762,763,Mr. Bean's Holiday,"$3,048,163.00",7/27,China Film
763,764,Dvizhenie Vverh,"$3,043,044.00",6/13,
764,765,The Bourne Ultimatum,"$3,026,471.00",11/15,China Film
765,766,Heidi (2015),"$2,954,343.00",5/16,
766,767,Whisper of Silent Body,"$2,919,775.00",6/14,
767,768,Hai jiao qi hao (Cape No. 7),"$2,909,204.00",2/14,
768,769,Hai jiao qi hao (Cape No. 7),"$2,909,204.00",2/14,
769,770,Hai jiao qi hao (Cape No. 7),"$2,909,204.00",2/14,
770,771,Vinci,"$2,891,421.00",1/10,BeijChua
771,772,Ratatouille,"$2,871,850.00",10/19,HuaXia
772,773,Gao xing,"$2,774,168.00",2/4,
773,774,Gao xing,"$2,774,168.00",2/4,
774,775,Gao xing,"$2,774,168.00",2/4,
775,776,Oi dut hei (Give Love),"$2,758,816.00",2/13,
776,777,Oi dut hei (Give Love),"$2,758,816.00",2/13,
777,778,Oi dut hei (Give Love),"$2,758,816.00",2/13,
778,779,The LEGO Movie 2: The Second Part,"$2,749,903.00",3/22,
779,780,Wukong's Christmas Adventure,"$2,747,719.00",5/1,
780,781,Baohulu de mimi (The Secret of the Magic Gourd),"$2,725,713.00",6/29,China Film
781,782,Push and Shove,"$2,704,326.00",4/20,
782,783,Doraemon: Nobita no kyôryû (2006),"$2,682,446.00",7/20,HuaXia
783,784,Zwartboek (Black Book),"$2,620,617.00",2/3,
784,785,Zwartboek (Black Book),"$2,620,617.00",2/3,
785,786,Zwartboek (Black Book),"$2,620,617.00",2/3,
786,787,Daai sau cha ji neui (Lady Cop & Papa Crook),"$2,571,032.00",12/23,
787,788,Tristan and Isolde,"$2,569,673.00",4/20,XinHua
788,789,Maquia: When The Promised Flower Blooms,"$2,551,388.00",2/22,
789,790,Creed II,"$2,530,119.00",1/4,
790,791,Twins (2019),"$2,504,008.00",5/18,
791,792,Man jeuk (Sparrow),"$2,479,761.00",8/22,
792,793,The Beast Stalker,"$2,473,015.00",11/20,
793,794,Change of Gangsters,"$2,415,054.00",4/19,
794,795,Australia,"$2,402,985.00",1/28,
795,796,Australia,"$2,402,985.00",1/28,
796,797,Australia,"$2,402,985.00",1/28,
797,798,The Devil Wears Prada,"$2,401,750.00",2/27,China Film
798,799,Thomas & Friends: Big World! Big Adventures! The Movie,"$2,388,275.00",5/31,
799,800,Hellboy II: The Golden Army,"$2,366,875.00",11/21,
800,801,Next,"$2,308,086.00",12/2,
801,802,Slumdog Millionaire,"$2,280,068.00",3/26,
802,803,Slumdog Millionaire,"$2,280,068.00",3/26,
803,804,Slumdog Millionaire,"$2,280,068.00",3/26,
804,805,Huang Cun Ke Zhan (The Deserted Inn),"$2,260,958.00",8/15,
805,806,Alone in the Dark,"$2,250,837.00",3/20,
806,807,Alone in the Dark,"$2,250,837.00",3/20,
807,808,Alone in the Dark,"$2,250,837.00",3/20,
808,809,Chao Qiang Tai Feng (Super Typhoon),"$2,236,025.00",10/24,
809,810,Prey (2007),"$2,206,479.00",9/7,China Film
810,811,Butterfly on a Wheel,"$2,191,156.00",6/26,
811,812,Jing wu men (Kung Fu Hip Hop),"$2,161,941.00",6/26,
812,813,The Sexy Guys,"$2,148,689.00",4/12,
813,814,Tai yang zhao chang sheng qi (The Sun Also Rises),"$2,130,247.00",9/14,
814,815,Atonement,"$2,122,170.00",2/22,China Film
815,816,Mi-nyeo-neun Gwae-ro-wo (200 Pounds Beauty),"$2,076,217.00",9/28,China Film
816,817,Kod apokalipsisa (Apocalypse Code),"$2,044,984.00",4/17,HuaXia
817,818,Taken,"$2,037,062.00",4/11,China Film
818,819,Taxi 4,"$2,023,472.00",10/4,BonaWen
819,820,Skalolazka and the Latter from the Seventh Cradle,"$2,016,984.00",3/6,
820,821,Skalolazka and the Latter from the Seventh Cradle,"$2,016,984.00",3/6,
821,822,Skalolazka and the Latter from the Seventh Cradle,"$2,016,984.00",3/6,
822,823,Enter the Forbidden City,"$1,996,607.00",5/10,
823,824,Hua hua xing jing (Playboy Cops),"$1,893,993.00",2/28,ShidYin
824,825,Fool's Gold,"$1,880,542.00",5/26,China Film
825,826,Li mi de cai xiang (The Equation of Love and Death),"$1,869,732.00",9/19,
826,827,Hup yeu ching yan (Contract Lover),"$1,860,515.00",8/16,UME
827,828,Gwoemul (The Host),"$1,848,333.00",3/9,BeijWanda
828,829,"Tonight, At The Movies","$1,828,701.00",2/14,
829,830,Babel,"$1,810,727.00",3/13,China Film
830,831,No Reservations,"$1,808,318.00",9/7,China Film
831,832,Uncle Drew,"$1,786,702.00",1/11,
832,833,16 Blocks,"$1,765,482.00",3/30,BeijShi
833,834,Zhou Enlai Returned To Yanan,"$1,732,943.00",5/15,
834,835,Let's Steal Together,"$1,676,554.00",2/18,Poly Bona
835,836,Luo ye gui gen (Getting Home),"$1,675,150.00",1/19,XinHua
836,837,Dei yuk dai sup gau tsang (Naraka 19),"$1,647,884.00",8/28,ShidYin
837,838,Doraemon: Nobita no shin makai daibôken (Doraemon the Movie: Nobita's New Great Adventure Into the Underworld - The Seven Magic Users) (2007),"$1,631,483.00",1/22,China Film
838,839,The Children of Huang Shi,"$1,627,665.00",4/3,HuaXia
839,840,Nihon chinbotsu (Sinking of Japan),"$1,596,594.00",9/21,HuaXia
840,841,Arthur et les Minimoys (Arthur and the Invisibles),"$1,584,949.00",1/19,Duomeng
841,842,Mee-Shee: The Water Giant,"$1,578,310.00",9/12,
842,843,Four Springs,"$1,561,731.00",1/4,
843,844,Chaos (2005),"$1,551,049.00",3/9,BeijChua
844,845,Ai qing hu jiao zhuan yi,"$1,547,449.00",2/8,Xiying
845,846,Jinpa,"$1,520,781.00",4/26,
846,847,The Crossing (2019),"$1,479,151.00",3/15,
847,848,Frog Prince Adventures,"$1,456,558.00",4/5,
848,849,Yat kor ho ba ba (Run Papa Run),"$1,455,223.00",5/30,Poly Bona
849,850,Xin zhong you gui (The Matrimony),"$1,418,495.00",2/8,Xiying
850,851,My Blueberry Nights,"$1,398,408.00",12/22,Oriental
851,852,Click,"$1,387,909.00",4/20,China Film
852,853,Nanking,"$1,315,650.00",7/6,HuaXia
853,854,Ping guo (Lost in Beijing),"$1,286,914.00",11/30,Poly Bona
854,855,Stormbreaker,"$1,272,763.00",4/13,ShHuayu
855,856,Autobahnraser,"$1,255,566.00",10/15,
856,857,Dangerous Games,"$1,237,539.00",12/28,Dengtian
857,858,Final Contract: Death or Delivery,"$1,237,360.00",9/28,Zijing
858,859,Babylon A.D.,"$1,228,608.00",11/17,
859,860,C+ jing taam (The Detective),"$1,205,546.00",9/26,BonaWen
860,861,Startups,"$1,196,360.00",1/11,
861,862,Fast Track: No Limits,"$1,190,456.00",5/30,BeijShi
862,863,Stolen Princess: Ruslan and Lyudmyla,"$1,185,765.00",1/18,
863,864,Kak Ya Stal Russkim (How I Became Russian),"$1,178,530.00",1/24,
864,865,Ashes of Time Redux,"$1,169,266.00",3/27,
865,866,Ashes of Time Redux,"$1,169,266.00",3/27,
866,867,Ashes of Time Redux,"$1,169,266.00",3/27,
867,868,The Underdog Knight,"$1,167,457.00",11/28,
868,869,The Great Detective,"$1,162,914.00",1/25,
869,870,I’m Liu Yue Jin,"$1,135,341.00",1/18,China Film
870,871,Desire Game,"$1,106,083.00",4/12,
871,872,Deadly Delicious,"$1,060,921.00",3/7,BeijJido
872,873,Yellow Rose,"$1,055,794.00",5/25,
873,874,The Dream Is Alive,"$1,044,068.00",10/26,Oriental
874,875,Gun chung (Eye in the Sky),"$1,043,304.00",6/23,Poly Bona
875,876,Long nga (Legendary Assassin),"$1,019,682.00",12/10,
876,877,Shrek the Third,"$982,214.00",8/21,ChDigital
877,878,Calabash Brothers,"$957,896.00",5/27,Shanghai
878,879,Shark Bait (a.k.a. The Reef),"$955,961.00",3/9,ChDigital
879,880,Hong Kong-Zhuhai-Macao Bridge,"$944,408.00",5/1,
880,881,Happy Family (2017),"$930,478.00",3/29,
881,882,The Breadwinner,"$929,860.00",1/11,
882,883,The First of August,"$924,252.00",9/20,China Film
883,884,Hu die fei (Linger),"$913,811.00",1/11,Guangxian
884,885,Bullet Fist,"$912,678.00",11/30,HuaXia
885,886,The Pursuit of Happyness,"$848,578.00",1/17,ChDigital
886,887,Chung oi (In Love with the Dead),"$844,583.00",1/8,DadiShid
887,888,Bong ga (Kidnap),"$825,147.00",6/8,XinHua
888,889,Two Stupid Eggs,"$813,559.00",12/21,Xingmei
889,890,Becoming Jane,"$800,573.00",2/10,China Film
890,891,Memoirs of a Murderer,"$790,588.00",1/11,
891,892,The Ghost in the Well,"$787,747.00",2/22,
892,893,Ji ri qi cheng (Set Off),"$759,767.00",9/29,
893,894,Wish You Were Here (2019),"$738,015.00",4/12,
894,895,Sum yuen (Forest of Death),"$717,444.00",3/23,Poly Bona
895,896,Hui Buh - Das Schlossgespenst,"$714,796.00",9/28,
896,897,27 Dresses,"$711,654.00",5/30,
897,898,Men (The Door),"$708,717.00",1/18,Zijing
898,899,Brave Rabbit3 The Crazy Time Machine,"$706,619.00",1/18,
899,900,Astérix aux jeux olympiques,"$701,510.00",9/29,
900,901,Roma (2018),"$699,797.00",5/10,
901,902,Bridge to Terabithia,"$686,355.00",1/26,
902,903,Bridge to Terabithia,"$686,355.00",1/26,
903,904,Bridge to Terabithia,"$686,355.00",1/26,
904,905,Yi ma de hou xian dai sheng huo (The Postmodern Life of My Aunt),"$671,757.00",3/6,Poly Bona
905,906,Duo Biao (Champions),"$658,443.00",10/31,
906,907,Hei wong ji wong (Simply Actors),"$651,180.00",8/28,China Film
907,908,Sun yat fai lok (Happy Birthday),"$644,288.00",1/16,ShHuayu
908,909,Inu to watashi no 10 no yakusoku (10 Promises to My Dog),"$613,344.00",1/26,
909,910,Inu to watashi no 10 no yakusoku (10 Promises to My Dog),"$613,344.00",1/26,
910,911,Inu to watashi no 10 no yakusoku (10 Promises to My Dog),"$613,344.00",1/26,
911,912,Step Up 2 the Streets,"$581,378.00",7/29,
912,913,On the Balcony,"$577,923.00",3/15,
913,914,Ming Ming,"$559,415.00",4/26,Poly Bona
914,915,Khan Kluay,"$538,636.00",6/12,
915,916,Lo kong ching chuen (Mr. Cinema),"$525,555.00",6/21,China Film
916,917,Marriage Trap,"$524,256.00",2/14,Poly Bona
917,918,DOA: Dead or Alive,"$516,235.00",7/24,China Film
918,919,Help (2007),"$505,365.00",1/4,ShangYix
919,920,5 Guns of Mercy,"$503,481.00",4/11,China Film
920,921,Funeral Wake,"$493,000.00",4/4,
921,922,Bleach,"$482,325.00",4/19,
922,923,The Awakening Calling from Love,"$474,656.00",3/8,
923,924,Penguin Highway,"$469,887.00",5/17,
924,925,Sun taam (Mad Detective),"$456,980.00",2/22,BonaWen
925,926,Chan mat (Claustraphobia),"$438,808.00",3/6,
926,927,Chan mat (Claustraphobia),"$438,808.00",3/6,
927,928,Chan mat (Claustraphobia),"$438,808.00",3/6,
928,929,Qian Ting Zong Dong Yuan,"$433,971.00",5/30,ChDigital
929,930,Shik-gaek (Le Grand Chef),"$427,710.00",3/7,
930,931,A Chinese Fairy Tale,"$328,204.00",8/26,
931,932,Lichun (And the Spring Comes),"$285,555.00",4/11,
932,933,Mi guo (Lost Indulgence),"$285,399.00",11/14,
933,934,Irreversi,"$262,816.00",2/20,
934,935,Irreversi,"$262,816.00",2/20,
935,936,Irreversi,"$262,816.00",2/20,
936,937,Esquire Runaway,"$258,900.00",5/16,HuaXia
937,938,The Spiderwick Chronicles,"$224,524.00",4/18,IMAX
938,939,August Rush,"$218,988.00",1/23,
939,940,August Rush,"$218,988.00",1/23,
940,941,August Rush,"$218,988.00",1/23,
941,942,Xi Zang Jin Xi,"$189,812.00",2/15,
942,943,Xi Zang Jin Xi,"$189,812.00",2/15,
943,944,Xi Zang Jin Xi,"$189,812.00",2/15,
944,945,Waiting in Beijing,"$189,795.00",10/24,
945,946,Joulutarina (Christmas Story),"$189,546.00",12/19,
946,947,Ye Mei Gui (Night Rose),"$175,441.00",3/5,
947,948,Ye Mei Gui (Night Rose),"$175,441.00",3/5,
948,949,Ye Mei Gui (Night Rose),"$175,441.00",3/5,
949,950,Wushu,"$174,708.00",10/24,
950,951,Out of Control,"$160,953.00",11/7,
951,952,Er shi si cheng ji (24 City),"$160,633.00",3/6,
952,953,Er shi si cheng ji (24 City),"$160,633.00",3/6,
953,954,Er shi si cheng ji (24 City),"$160,633.00",3/6,
954,955,Tao Qi Bao Ma Xiao Tiao,"$145,992.00",1/20,
955,956,Tao Qi Bao Ma Xiao Tiao,"$145,992.00",1/20,
956,957,Tao Qi Bao Ma Xiao Tiao,"$145,992.00",1/20,
957,958,Anaconda Frightened,"$142,902.00",4/8,
958,959,Donkey Xote,"$131,393.00",1/16,
959,960,Donkey Xote,"$131,393.00",1/16,
960,961,Donkey Xote,"$131,393.00",1/16,
961,962,Ha! Ha! Ha!,"$129,467.00",5/16,
962,963,Liang ren fang,"$111,281.00",2/12,ChDigital
963,964,Cold Harvest (1999),"$110,765.00",1/18,
964,965,La Doublure (The Valet),"$87,685.00",2/6,
965,966,La Doublure (The Valet),"$87,685.00",2/6,
966,967,La Doublure (The Valet),"$87,685.00",2/6,
967,968,50 Meters Line Between Alive or Dead,"$87,561.00",9/4,
968,969,Left Right,"$85,379.00",4/1,Xingmei
969,970,Ye Man De Wen Rou (Barbarian Tender),"$81,803.00",6/26,
970,971,T-Rex: Back to the Cretaceous (IMAX),"$80,546.00",7/10,
971,972,Wei Dao Nan Nv,"$73,073.00",11/14,
972,973,Zhou Guo Ping (Road to Home),"$58,274.00",10/24,
973,974,Hutushenpan,"$55,002.00",1/11,
974,975,Oi ching ku see (Basic Love),"$43,881.00",3/20,
975,976,Oi ching ku see (Basic Love),"$43,881.00",3/20,
976,977,Oi ching ku see (Basic Love),"$43,881.00",3/20,
977,978,Ye Zhu Zou Ming Qu,"$32,911.00",3/20,
978,979,Ye Zhu Zou Ming Qu,"$32,911.00",3/20,
979,980,Ye Zhu Zou Ming Qu,"$32,911.00",3/20,
980,981,Lemonade,"$5,840.00",2/12,
981,982,Lemonade,"$5,840.00",2/12,
982,983,Lemonade,"$5,840.00",2/12,
983,984,,,,
